,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,Focal Length
LEITZ,Summicron,15mm,2,1',3.6 lbs,"4.65""",95mm,PL,39mm,35mm OK,8,None,,No,N/A,2017,,,,,,,,,
,,18mm,2,1',3 lbs,"4""",95mm,PL,38mm,35mm OK,8,None,Duclos 1.7X,No,N/A,2013,,,,,,,,,
,,21mm,2,1',2.85 lbs,"4""",95mm,PL,38mm,35mm OK,8,None,Duclos 1.7X,No,N/A,2014,,,,,,,,,
,,25mm,2,1',3.4 lbs,"4""",95mm,PL,39mm,35mm OK,8,None,Duclos 1.7X,No,N/A,2013,,,,,,,,,
,,29mm,2,1',2.85 lbs,"4""",95mm,PL,39mm,35mm OK,8,None,Duclos 1.7X,No,N/A,2014,,,,,,,,,
,,35mm,2,"1' 2""",3 lbs,"4""",95mm,PL,40mm clear / 43mm with falloff,35mm OK,8,None,Duclos 1.7X,No,N/A,2013,,,,,,,,,
,,40mm,2,"1' 6""",3 lbs,"4""",95mm,PL,39mm,35mm OK,8,None,Duclos 1.7X,No,N/A,2014,,,,,,,,,
,,50mm,2,2',3.25 lbs,"4""",95mm,PL,41mm clear / 43mm with falloff,35mm OK,8,None,Duclos 1.7X,No,N/A,2013,,,,,,,,,
,,75mm,2,3',2.75 lbs,"4""",95mm,PL,40mm clear / 32mm with falloff,35mm OK,8,None,Duclos 1.7X,No,N/A,2013,,,,,,,,,
,,100mm,2,"3' 4""",2.75 lbs,"4""",95mm,PL,40mm clear / 43mm with falloff,,8,None,Duclos 1.7X,No,N/A,2013,,,,,,,,,
,,135mm,2,5',4 lbs,"4.65""",95mm,PL,39mm clear / 43mm with falloff,,8,None,Duclos 1.7X,No,N/A,2014,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
LEITZ,Summilux,16mm,1.4,"1' 2""",3.75 lbs,"5.6""",95mm,PL,33mm,35mm OK,10,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,No,N/A,2015,,,,,,,,,
,,18mm,1.4,"1' 6""",3.7 lbs,"5.6""",95mm,PL,36.5mm,35mm OK,10,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,No,N/A,2010,,,,,,,,,
,,21mm,1.4,"1' 3""",3.5 lbs,"5.6""",95mm,PL,40mm,35mm OK,11,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,No,N/A,2010,,,,,,,,,
,,25mm,1.4,"1' 3""",4 lbs,"5.6""",95mm,PL,41mm,35mm OK,11,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,No,N/A,2010,,,,,,,,,
,,29mm,1.4,"1' 6""",3.75 lbs,"5.6""",95mm,PL,41.5mm,35mm OK,11,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,No,N/A,2012,,,,,,,,,
,,35mm,1.4,"1' 6""",3.6 lbs,"5.6""",95mm,PL,41.5mm,35mm OK,12,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,No,N/A,2010,,,,,,,,,
,,40mm,1.4,"1' 6""",3.6 lbs,"5.6""",95mm,PL,43mm,35mm OK,11,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,No,N/A,2010,,,,,,,,,
,,50mm,1.4,2',4 lbs,"5.6""",95mm,PL,43mm,35mm OK,10,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,No,N/A,2010,,,,,,,,,
,,65mm Macro,1.4 (2 at CF),"1' 6""",3.75 lbs,"5.6""",95mm,PL,43mm,35mm OK,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,No,N/A,2012,,,,,,,,,
,,75mm,1.4,"2' 6""",3.6 lbs,"5.6""",95mm,PL,43mm,35mm OK,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,No,N/A,2010,,,,,,,,,
,,100mm,1.4,"3' 3""",3.5 lbs,"5.6""",95mm,PL,43mm,35mm OK,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,No,N/A,2010,,,,,,,,,
,,135mm,1.4,"4' 7""",7.4 lbs,"7.6""",114mm,PL,43mm,35mm OK,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",,No,32mm,2016,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
LEITZ,Elmarit-R,19mm,3.2,"11""",2.2 lbs,"2.8""",110mm,PL,33mm clear / 41mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",,No,N/A,1970-1990,"P+S Technik, Mark I",,,,,,,,
,,28mm,2.8,"17""",2.2 lbs,"3""",110mm,PL,35mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X, Ang 1.4X",,No,N/A,1970-1990,"P+S Technik, Mark I",,,,,,,,
,,35mm,1.6,"20""",3.4 lbs,"4.5""",110mm,PL,40mm clear / 43mm with falloff,35mm OK,7,"IBE 1.4X, IBE 2X",,No,N/A,1970-1990,"P+S Technik, Mark I",,,,,,,,
,,50mm,1.4,"19""",2.6 lbs,"3.3""",110mm,PL,40mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X",,No,N/A,1970-1990,"P+S Technik, Mark I",,,,,,,,
,,60mm,2.8,,,,110mm,PL,,35mm OK,,,,No,N/A,1970-1990,"P+S Technik, Mark I",,,,,,,,
,,135mm,2.8,,,,110mm,PL,,35mm OK,,,,No,N/A,1970-1990,"P+S Technik, Mark I",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
LEITZ,Elmarit-R,19mm,2.8,"11""",1.6 lbs,"2.4""",95mm,PL,33mm clear / 38mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X",,No,N/A,1970-1990,"Mark I, GL Optics",,,,,,,,
,,28mm,2.8,"9""",1.8 lbs,"2.4""",95mm,PL,35mm clear / 42mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X",,No,N/A,1970-1990,"Mark I, GL Optics",,,,,,,,
,,35mm,1.4,2',3.2 lbs,"3.3""",95mm,PL,39mm clear / 43mm with falloff,35mm OK,7,"IBE 1.4X, IBE 2X",,No,N/A,1970-1990,"Mark I, GL Optics",,,,,,,,
,,50mm,1.4,"1' 8""",2.1 lbs,"3.3""",95mm,PL,40mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X",,No,N/A,1970-1990,"Mark I, GL Optics",,,,,,,,
,,80mm,1.4,"2' 3""",3 lbs,"3.3""",95mm,PL,40mm clear / 43mm with falloff,35mm OK,9,"IBE 1.4X, IBE 2X, Optex 2X",,No,N/A,1970-1990,"Mark I, GL Optics",,,,,,,,
,,100mm,2.8,"1' 6""",5.8 lbs,"6.4""",95mm,PL,40mm clear / 43mm with falloff,35mm OK,7,"IBE 1.4X, IBE 2X",,No,N/A,1970-1990,"Mark I, GL Optics,  Macro",,,,,,,,
,,135mm,2.8,5',4.2 lbs,"4.4""",95mm,PL,41mm clear / 43mm with falloff,35mm OK,8,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",,No,N/A,1970-1990,"Mark I, GL Optics",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
LEITZ,Elmarit-R,19mm,2.8,1',1.4 lbs,"2.25""",80mm,PL / Bayonet,35mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X",,No,N/A,1970-1990,"Mark I, Van Diemen / Vintage",,,,,,,,
,,24mm,,,,,,PL / Bayonet,,35mm OK,,,,No,N/A,1970-1990,"Mark I, Van Diemen / Vintage",,,,,,,,
,,28mm,2.8,"10""",1.1 lbs,"2.25""",80mm,PL / Bayonet,35mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X",,No,N/A,1970-1990,"Mark I, Van Diemen / Vintage",,,,,,,,
,,35mm,,,,,,PL / Bayonet,,35mm OK,,,,No,N/A,1970-1990,"Mark I, Van Diemen / Vintage",,,,,,,,
,,50mm,1.4,"1' 4""",1.4 lbs,"2.25""",80mm,PL / Bayonet,41mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",,No,N/A,1970-1990,"Mark I, Van Diemen / Vintage",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
LEITZ,Elmarit-R,19mm,T2.9,"9""",2 lbs,"2.7""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
,,24mm,T2.9,"10""",2 lbs,"2.7""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
,,28mm,T2.9,"9""",2 lbs,"2.7""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
,,35mm,T1.5,"1' 8""",3.2 lbs,"3.2""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
,,50mm,T1.5,"1' 5""",2.3 lbs,"2.7""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
,,60mm Macro,T2.9,"11""",3.3 lbs,"4.8""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
,,80mm,T1.5,"1' 10""",3.7 lbs,"3.6""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
,,100mm Macro,T2.9,"1' 5""",4.4 lbs,"6""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
,,135mm,T2.9,"3' 4""",3.4 lbs,"4.8""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,